日付,【得意先】,伝票番号,商品名,数量,単位,単価,金額,粗利
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374396,廃プラスチック類,4 ,m3,10000 ,44000 ,13200 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374656,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,13200 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374684,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,44000 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,374689,コンクリ－トがら　無筋,2 ,m3,6000 ,13200 ,13200 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,375318,事務手数料,1 ,式,1500 ,1650 ,13200 
2020-07-31,三機工業　株式会社　（多摩川/尾久）,375318,一般廃棄物,1 ,式,17000 ,18700 ,13200 
2020-08-06,三機工業　株式会社　（多摩川/尾久）,375374,廃プラスチック類（14174244388）,1 ,m3,10000 ,11000 ,1650 
2020-08-06,三機工業　株式会社　（多摩川/尾久）,375374,木くず（14174244366）,1 ,m3,6000 ,3300 ,18700 
2020-08-06,三機工業　株式会社　（多摩川/尾久）,375374,混合廃棄物Ａ（14174244355）,9 ,m3,10000 ,93500 ,11000 
2020-08-06,三機工業　株式会社　（多摩川/尾久）,376096,コンクリ－トがら　無筋,2 ,m3,6000 ,9900 ,3300 
2020-08-31,三機工業　株式会社　（多摩川/尾久）,378915,事務手数料,1 ,式,1500 ,1650 ,93500 
2020-08-31,三機工業　株式会社　（多摩川/尾久）,378915,一般廃棄物,1 ,式,17000 ,18700 ,9900 
2020-09-30,三機工業　株式会社　（多摩川/尾久）,382796,事務手数料,1 ,式,1500 ,1650 ,1650 
2020-09-30,三機工業　株式会社　（多摩川/尾久）,382796,一般廃棄物,1 ,式,17000 ,18700 ,18700 
2020-07-16,三機工業　株式会社　（飯能/阿部）,372397,混合廃棄物,1 ,m3,10000 ,11000 ,1650 
2020-08-06,三機工業　株式会社　（浅川/岩月）,375822,コンテナ用シート,1 ,枚,5000 ,5500 ,18700 
