日付,得意先,,,商品名,,,,,,,,,,数量,,,,,,単価,,,,,金額
2020/11/04,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,3700,,,,,,2.5,,,,,10175
2020/11/04,メタウォーター株式会社,,,7ｔユニック積込作業,,,,,,,,,,1,,,,,,28000,,,,,30800
2020/11/05,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/06,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,13000,,,,,14300
2020/11/11,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/11/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/11/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/18,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/11/19,メタウォーター株式会社,,,コンクリ－トがら,,,,,,,,,,1800,,,,,,2.5,,,,,4950
2020/11/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/20,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/11/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/11/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/24,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/11/24,メタウォーター株式会社,,,廃石綿,,,,,,,,,,8,,,,,,65000,,,,,572000
2020/11/26,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/11/27,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/11/30,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/12/02,メタウォーター株式会社,,,コンテナ設置費,,,,,,,,,,1,,,,,,31000,,,,,34100
2020/12/03,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/12/04,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/08,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/09,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/10,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,22000,,,,,24200
2020/12/10,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,16000,,,,,17600
2020/12/15,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/12/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,45000,,,,,49500
2020/12/16,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19000,,,,,20900
2020/12/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,26000,,,,,28600
2020/12/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,14500,,,,,15950
2020/12/17,メタウォーター株式会社,,,運搬費,,,,,,,,,,1,,,,,,19500,,,,,21450
