日付,,得意先,,,商品名,,,,,,,,数量,,単位,,単価,,金額
2021/02/02,,メタウォーター,,,18-8ステン解体,,,,,,,,960 ,,kg,,90,,95040
2021/02/03,,メタウォーター,,,千地,,,,,,,,1310 ,,kg,,10,,14410
2021/02/04,,メタウォーター,,,ギロ材,,,,,,,,5510 ,,kg,,21,,127281
2021/02/04,,メタウォーター,,,18-8ステン解体,,,,,,,,180 ,,kg,,90,,17820
2021/02/04,,メタウォーター,,,ガス切,,,,,,,,5390 ,,kg,,16,,94864
2021/02/04,,メタウォーター,,,ギロ材,,,,,,,,7750 ,,kg,,21,,179025
2021/02/04,,メタウォーター,,,18-8ステン解体,,,,,,,,270 ,,kg,,90,,26730
2021/02/05,,メタウォーター,,,ギロ材,,,,,,,,1550 ,,kg,,21,,35805
2021/02/05,,メタウォーター,,,ギロ材,,,,,,,,2470 ,,kg,,21,,57057
2021/02/05,,メタウォーター,,,ギロ材,,,,,,,,6090 ,,kg,,21,,140679
2021/02/05,,メタウォーター,,,ガス切,,,,,,,,1140 ,,kg,,16,,20064
2021/02/05,,メタウォーター,,,ギロ材,,,,,,,,5160 ,,kg,,21,,119196
2021/02/05,,メタウォーター,,,18-8ステン解体,,,,,,,,250 ,,kg,,90,,24750
2021/02/05,,メタウォーター,,,ガス切,,,,,,,,2150 ,,kg,,16,,37840
2021/02/05,,メタウォーター,,,ギロ材,,,,,,,,4680 ,,kg,,21,,108108
2021/02/05,,メタウォーター,,,ガス切,,,,,,,,1540 ,,kg,,16,,27104
2021/02/05,,メタウォーター,,,18-8ステン解体,,,,,,,,1540 ,,kg,,90,,152460
2021/02/05,,メタウォーター,,,ギロ材,,,,,,,,5130 ,,kg,,21,,118503
2021/02/05,,メタウォーター,,,ガス切,,,,,,,,1710 ,,kg,,16,,30096
2021/02/05,,メタウォーター,,,18-8ステン解体,,,,,,,,1710 ,,kg,,90,,169290
2021/02/08,,メタウォーター,,,ギロ材,,,,,,,,1290 ,,kg,,21,,29799
2021/02/08,,メタウォーター,,,ギロ材,,,,,,,,5890 ,,kg,,21,,136059
2021/02/08,,メタウォーター,,,18-8ステン解体,,,,,,,,900 ,,kg,,90,,89100
2021/02/08,,メタウォーター,,,ギロ材,,,,,,,,5510 ,,kg,,21,,127281
2021/02/08,,メタウォーター,,,18-8ステン解体,,,,,,,,1110 ,,kg,,90,,109890
2021/02/08,,メタウォーター,,,雑品,,,,,,,,430 ,,kg,,15,,7095
2021/02/08,,メタウォーター,,,ギロ材,,,,,,,,4770 ,,kg,,21,,110187
2021/02/08,,メタウォーター,,,18-8ステン解体,,,,,,,,600 ,,kg,,90,,59400
2021/02/08,,メタウォーター,,,ガス切,,,,,,,,1150 ,,kg,,16,,20240
2021/02/08,,メタウォーター,,,ギロ材,,,,,,,,440 ,,kg,,21,,10164
2021/02/08,,メタウォーター,,,18-8ステン解体,,,,,,,,760 ,,kg,,90,,75240
2021/02/08,,メタウォーター,,,雑品,,,,,,,,60 ,,kg,,15,,990
2021/02/09,,メタウォーター,,,ギロ材,,,,,,,,1610 ,,kg,,21,,37191
2021/02/09,,メタウォーター,,,18-8ステン解体,,,,,,,,2200 ,,kg,,90,,217800
2021/02/09,,メタウォーター,,,ガス切,,,,,,,,1560 ,,kg,,16,,27456
2021/02/09,,メタウォーター,,,18-8ステン解体,,,,,,,,980 ,,kg,,90,,97020
2021/02/09,,メタウォーター,,,ガス切,,,,,,,,5700 ,,kg,,16,,100320
2021/02/09,,メタウォーター,,,ギロ材,,,,,,,,3950 ,,kg,,21,,91245
2021/02/09,,メタウォーター,,,18-8ステン解体,,,,,,,,2900 ,,kg,,90,,287100
2021/02/09,,メタウォーター,,,ギロ材,,,,,,,,1440 ,,kg,,21,,33264
2021/02/09,,メタウォーター,,,18-8ステン解体,,,,,,,,6080 ,,kg,,90,,601920
2021/02/10,,メタウォーター,,,18-8ステン解体,,,,,,,,850 ,,kg,,90,,84150
2021/02/10,,メタウォーター,,,ガス切,,,,,,,,7300 ,,kg,,16,,128480
2021/02/10,,メタウォーター,,,18-8ステン解体,,,,,,,,2230 ,,kg,,90,,220770
2021/02/10,,メタウォーター,,,ガス切,,,,,,,,4940 ,,kg,,16,,86944
2021/02/12,,メタウォーター,,,ギロ材,,,,,,,,5170 ,,kg,,21,,119427
2021/02/12,,メタウォーター,,,ガス切,,,,,,,,2510 ,,kg,,16,,44176
2021/02/12,,メタウォーター,,,18-8ステン解体,,,,,,,,880 ,,kg,,90,,87120
2021/02/12,,メタウォーター,,,ギロ材,,,,,,,,5510 ,,kg,,21,,127281
2021/02/12,,メタウォーター,,,ガス切,,,,,,,,2300 ,,kg,,16,,40480
2021/02/15,,メタウォーター,,,ギロ材,,,,,,,,1680 ,,kg,,27,,49896
2021/02/15,,メタウォーター,,,雑品,,,,,,,,75 ,,kg,,15,,1237
2021/02/15,,メタウォーター,,,ガス切,,,,,,,,740 ,,kg,,22,,17908
2021/02/15,,メタウォーター,,,ギロ材,,,,,,,,5800 ,,kg,,27,,172260
2021/02/15,,メタウォーター,,,18-8ステン解体,,,,,,,,1080 ,,kg,,90,,106920
2021/02/15,,メタウォーター,,,ギロ材,,,,,,,,6190 ,,kg,,27,,183843
2021/02/15,,メタウォーター,,,18-8ステン解体,,,,,,,,430 ,,kg,,90,,42570
2021/02/15,,メタウォーター,,,雑品,,,,,,,,1530 ,,kg,,15,,25245
2021/02/15,,メタウォーター,,,ギロ材,,,,,,,,2600 ,,kg,,27,,77220
2021/02/16,,メタウォーター,,,ギロ材,,,,,,,,2000 ,,kg,,27,,59400
2021/02/16,,メタウォーター,,,雑品,,,,,,,,480 ,,kg,,15,,7920
2021/02/16,,メタウォーター,,,ギロ材,,,,,,,,3250 ,,kg,,27,,96525
2021/02/16,,メタウォーター,,,18-8ステン解体,,,,,,,,3780 ,,kg,,90,,374220
2021/02/16,,メタウォーター,,,ギロ材,,,,,,,,5340 ,,kg,,27,,158598
2021/02/16,,メタウォーター,,,ガス切,,,,,,,,3470 ,,kg,,22,,83974
2021/02/16,,メタウォーター,,,ギロ材,,,,,,,,9870 ,,kg,,27,,293139
2021/02/16,,メタウォーター,,,18-8ステン解体,,,,,,,,300 ,,kg,,90,,29700
2021/02/16,,メタウォーター,,,千地,,,,,,,,1670 ,,kg,,10,,18370
2021/02/16,,メタウォーター,,,ギロ材,,,,,,,,1710 ,,kg,,27,,50787
2021/02/16,,メタウォーター,,,雑線,,,,,,,,430 ,,kg,,230,,108790
